    1  git-version
    2  git -version
    3  git --version
    4  help
    5  help ls
    6  man ls
    7  help
    8  help ls
    9  help ls
   10  help cd
   11  help
   12  man
   13  man ls
   14  cd ls
   15  cd
   16  cd
   17  cd ls
   18  po 
   19  po posttman
   20  po postman
   21  po 
   22  po /postman
   23  po~postman
   24  cd~
   25  cd pictures/
   26  po pictures/
   27  cd /git
   28  pwd
   29  clear
   30  win file.txt
   31  mk test_dir
   32  mkdir test_dir
   33  ls-1
   34  git --version
   35  help
   36  help
   37  terminal
   38  help
   39  --help
   40  -help
   41  help
   42  help--help
   43  git --help
   44  git help ls
   45  git help -ls
   46  git --help ls
   47  git --help help
   48  git --help ls
   49  git --help cd
   50  help cd
   51  git -help cd
   52  git --help -cd
   53  ls
   54  man
   55  git --man
   56  man
   57  man cd
   58  cd Postman
   59  cd Postman/
   60  cd files/
   61  cd . .
   62  cd..
   63  cd ..
   64  cd ..
   65  cd /
   66  ls
   67  cd ~
   68  ls
   69  cd Pictures/
   70  ls
   71  cd Screenshots
   72  cd Desktop/
   73  cd ..
   74  cd Desktop
   75  cd Screenshots/
   76  cd ..
   77  pwd
   78  cd Downloada
   79  pwd
   80  pwd
   81  ls-l
   82  ls -l
   83  cd / d/
   84  cd goit/
   85  cd Goit
   86  ls
   87  cd desctop/goit
   88  cd desctop
   89  cd Desctop/
   90  cd Desktop
   91  cd GoIT
   92  touch file.txt
   93  ls
   94  ~
   95  ~
   96  pwd
   97  pwd
   98  cd ..
   99  cd GoITPractice
  100  vim file.txt
  101  nano file.txt
  102  cd GoITPractice
  103  nano file.txt
  104  cat file.txt
  105  mkdir test
  106  mkdir test_dir
  107  ls -l
  108  ls
  109  cp file.txt test_dir
  110  ls -l
  111  cd test_dir/
  112  ls -l
  113  rm file.txt
  114  ls -l
  115  ping google.com
  116  date
  117  system_profiler
  118  clear
  119  ifconfig
  120  ifconfig -all
  121  ipconfig -all
  122  ifconfig -a
  123  df -h
  124  whoami
  125  cd ..
  126  clear
  127  ls -1
  128  ls -l
  129  chmod 777 file.txt
  130  ls -l
  131  cles
  132  clear
  133  cd GoITPractice
  134  cd GoITPractice
  135  clear
  136  cd GIT
  137  cd GIT/
  138  git config --global"Olha Meknychuk"
  139  git config --global "Olha Melnychuk"
  140  git config --global user.name "Olha Melnychuk" 
  141  git config --global user.email lissonmi@gmail.com
  142  git config --get user.name
  143  git config --get user.email
  144  clear
  145  cd GIT/
  146  cd ..
  147  ls -l
  148  pwd
  149  cd ..
  150  cd GIT/
  151  cd GIT
  152  cd Desktop/GIT
  153  clear
  154  cd GIT/
  155  clear
  156  get config --get user.name
  157  git config --get user.name
  158  git config --get user.email
  159  git clone https://github.com/Olha3181/HW_10.git
  160  chmod 777 HW_10
  161  cd ..
  162  git clone https://github.com/Olha3181/HW_10.git
  163  sudo chmod 777 HW_10
  164  chmod 777 HW_10
  165  clear
  166  git clone https://github.com/Olha3181/HW_10.git
  167  chmod 777 "HW_10"
  168  sudo chmod 777 HW_10
  169  chmod 666 HW_10
  170  git clone https://github.com/Olha3181/HW_10.git
  171  git clone https://github.com/Olha3181/HW_10.git
  172  cd ..
  173  cd GoITPractice/
  174  cd ФОТО.
  175  ді
  176  ls
  177  cd GoIT
  178  cd GoIT/
  179  cd Desktop/GoIT
  180  git clone https://github.com/Olha3181/HW_10.git
  181  git status
  182  cd Desktop/GoIT
  183  cd goit
  184  cd goit/
  185  ls -l
  186  cd HW_10/
  187  git status
  188  touch new_file.txt
  189  git add new_file.txt
  190  git status
  191  git commit -m "created a new file new_file.txt"
  192  git log
  193  git branch
  194  git checkout -b test
  195  git branch
  196  touch test.txt
  197  git add test.txt
  198  git commit -m "added test.txt"
  199  git checkout main
  200  git merge test
  201  git log
  202  git push
  203  git push
  204  hit push
  205  Olha3181
  206  git push
  207  git push
  208  cd Desktop/PR
  209  history -c && rm ~/.bash_history
  210  clear
  211  git config --global user.name "OlhaMelnychuk"
  212  git config --global user.email lissonmi@gmail.com
  213  git config --get user.name
  214  git config --get user.email
  215  git clone https://github.com/Olha3181/HW_10.git
  216  cd Desktop/PR/HW_10
  217  cd HW_10
  218  touch text_ignore.txt
  219  ls
  220  vim .gitignore
  221  git status
  222  git add
  223  git add .
  224  git status
  225  git commit -m "Modified .gitignore to text_ignore.txt"
  226  touch main_test.txt
  227  git add .
  228  git status
  229  git commit -m "created a new file main_test.txt"
  230  git checkout -b develop
  231  git branch
  232  git checkout develop
  233  touch develop_test.txt
  234  git add .
  235  git status
  236  git commit -m "created a new branch and a new file develop_test.txt"  
  237  vim develop_test.txt
  238  git status
  239  git add .
  240  git status
  241  git commit -m "modified a file develop_test.txt\ngit commit -m "modified a file develop_test.txt"\ncd ..\npwd\npwd\n"
  242  git commit -m "modified a file develop_test.txt"
  243  git checkout main
  244  git merge develop
  245  git log
